Endpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns)
channel_out_op[140],0.41,1.88,1.47
channel_out_op[0],0.341,1.88,1.539
channel_out_op[70],0.331,1.88,1.549
error,0.307,1.88,1.573
channel_out_op[210],0.283,1.88,1.597
flow_ctrl_out_ip[6],0.28,1.88,1.6
flow_ctrl_out_ip[7],0.266,1.88,1.614
channel_out_op[280],0.253,1.88,1.627
flow_ctrl_out_ip[8],0.251,1.88,1.629
flow_ctrl_out_ip[12],0.217,1.88,1.663
flow_ctrl_out_ip[9],0.188,1.88,1.692
flow_ctrl_out_ip[3],0.178,1.88,1.702
flow_ctrl_out_ip[0],0.17,1.88,1.71
flow_ctrl_out_ip[10],0.167,1.88,1.713
channel_out_op[346],0.166,1.88,1.714
channel_out_op[343],0.165,1.88,1.715
flow_ctrl_out_ip[11],0.164,1.88,1.716
channel_out_op[306],0.164,1.88,1.716
channel_out_op[345],0.164,1.88,1.716
channel_out_op[315],0.163,1.88,1.717
channel_out_op[348],0.162,1.88,1.718
flow_ctrl_out_ip[5],0.161,1.88,1.719
channel_out_op[340],0.161,1.88,1.719
channel_out_op[305],0.161,1.88,1.719
channel_out_op[325],0.16,1.88,1.72
channel_out_op[326],0.16,1.88,1.72
flow_ctrl_out_ip[4],0.159,1.88,1.721
channel_out_op[23],0.159,1.88,1.721
channel_out_op[333],0.159,1.88,1.721
channel_out_op[316],0.158,1.88,1.722
channel_out_op[314],0.158,1.88,1.722
channel_out_op[339],0.158,1.88,1.722
channel_out_op[337],0.158,1.88,1.722
channel_out_op[310],0.157,1.88,1.723
channel_out_op[321],0.157,1.88,1.723
channel_out_op[308],0.157,1.88,1.723
channel_out_op[299],0.157,1.88,1.723
channel_out_op[323],0.156,1.88,1.724
channel_out_op[318],0.156,1.88,1.724
channel_out_op[320],0.155,1.88,1.725
channel_out_op[17],0.155,1.88,1.725
channel_out_op[19],0.154,1.88,1.726
channel_out_op[313],0.154,1.88,1.726
channel_out_op[327],0.154,1.88,1.726
channel_out_op[347],0.154,1.88,1.726
channel_out_op[30],0.153,1.88,1.727
channel_out_op[307],0.153,1.88,1.727
channel_out_op[322],0.153,1.88,1.727
channel_out_op[303],0.153,1.88,1.727
channel_out_op[8],0.153,1.88,1.727
channel_out_op[332],0.152,1.88,1.728
channel_out_op[9],0.152,1.88,1.728
channel_out_op[309],0.152,1.88,1.728
channel_out_op[331],0.152,1.88,1.728
channel_out_op[335],0.152,1.88,1.728
channel_out_op[329],0.152,1.88,1.728
channel_out_op[312],0.152,1.88,1.728
channel_out_op[319],0.151,1.88,1.729
channel_out_op[25],0.151,1.88,1.729
channel_out_op[26],0.151,1.88,1.729
channel_out_op[342],0.151,1.88,1.729
channel_out_op[344],0.151,1.88,1.729
channel_out_op[20],0.151,1.88,1.729
channel_out_op[10],0.15,1.88,1.73
flow_ctrl_out_ip[1],0.15,1.88,1.73
channel_out_op[297],0.15,1.88,1.73
channel_out_op[32],0.15,1.88,1.73
channel_out_op[296],0.149,1.88,1.731
channel_out_op[27],0.149,1.88,1.731
channel_out_op[341],0.149,1.88,1.731
channel_out_op[324],0.149,1.88,1.731
channel_out_op[328],0.149,1.88,1.731
channel_out_op[29],0.149,1.88,1.731
channel_out_op[336],0.148,1.88,1.732
channel_out_op[301],0.148,1.88,1.732
channel_out_op[334],0.148,1.88,1.732
channel_out_op[18],0.148,1.88,1.732
channel_out_op[11],0.147,1.88,1.733
channel_out_op[317],0.147,1.88,1.733
flow_ctrl_out_ip[2],0.147,1.88,1.733
channel_out_op[45],0.147,1.88,1.733
channel_out_op[15],0.146,1.88,1.734
channel_out_op[338],0.146,1.88,1.734
channel_out_op[300],0.146,1.88,1.734
channel_out_op[276],0.145,1.88,1.735
channel_out_op[311],0.145,1.88,1.735
channel_out_op[14],0.145,1.88,1.735
channel_out_op[304],0.145,1.88,1.735
channel_out_op[22],0.145,1.88,1.735
channel_out_op[28],0.145,1.88,1.735
channel_out_op[244],0.145,1.88,1.735
channel_out_op[31],0.144,1.88,1.736
channel_out_op[37],0.144,1.88,1.736
channel_out_op[35],0.144,1.88,1.736
channel_out_op[7],0.144,1.88,1.736
channel_out_op[34],0.144,1.88,1.736
channel_out_op[245],0.143,1.88,1.737
channel_out_op[42],0.143,1.88,1.737
channel_out_op[349],0.143,1.88,1.737
channel_out_op[46],0.142,1.88,1.738
channel_out_op[278],0.142,1.88,1.738
channel_out_op[47],0.142,1.88,1.738
channel_out_op[21],0.141,1.88,1.739
channel_out_op[24],0.141,1.88,1.739
channel_out_op[275],0.141,1.88,1.739
channel_out_op[33],0.141,1.88,1.739
channel_out_op[274],0.141,1.88,1.739
channel_out_op[43],0.141,1.88,1.739
channel_out_op[1],0.141,1.88,1.739
channel_out_op[330],0.141,1.88,1.739
channel_out_op[6],0.14,1.88,1.74
channel_out_op[39],0.14,1.88,1.74
channel_out_op[41],0.14,1.88,1.74
channel_out_op[256],0.139,1.88,1.741
channel_out_op[93],0.139,1.88,1.741
channel_out_op[238],0.139,1.88,1.741
channel_out_op[255],0.139,1.88,1.741
channel_out_op[16],0.138,1.88,1.742
channel_out_op[254],0.138,1.88,1.742
channel_out_op[12],0.138,1.88,1.742
channel_out_op[290],0.138,1.88,1.742
channel_out_op[253],0.137,1.88,1.743
channel_out_op[229],0.137,1.88,1.743
channel_out_op[251],0.137,1.88,1.743
channel_out_op[277],0.137,1.88,1.743
channel_out_op[289],0.137,1.88,1.743
channel_out_op[62],0.137,1.88,1.743
channel_out_op[291],0.137,1.88,1.743
channel_out_op[13],0.137,1.88,1.743
channel_out_op[64],0.137,1.88,1.743
channel_out_op[273],0.136,1.88,1.744
channel_out_op[248],0.136,1.88,1.744
channel_out_op[240],0.136,1.88,1.744
channel_out_op[68],0.136,1.88,1.744
channel_out_op[40],0.136,1.88,1.744
channel_out_op[252],0.136,1.88,1.744
channel_out_op[249],0.135,1.88,1.745
channel_out_op[265],0.135,1.88,1.745
channel_out_op[63],0.135,1.88,1.745
channel_out_op[36],0.135,1.88,1.745
channel_out_op[295],0.135,1.88,1.745
channel_out_op[258],0.135,1.88,1.745
channel_out_op[257],0.135,1.88,1.745
channel_out_op[293],0.135,1.88,1.745
channel_out_op[302],0.135,1.88,1.745
channel_out_op[298],0.134,1.88,1.746
channel_out_op[44],0.134,1.88,1.746
channel_out_op[60],0.134,1.88,1.746
channel_out_op[288],0.134,1.88,1.746
channel_out_op[233],0.134,1.88,1.746
channel_out_op[246],0.134,1.88,1.746
channel_out_op[38],0.134,1.88,1.746
channel_out_op[271],0.134,1.88,1.746
channel_out_op[55],0.134,1.88,1.746
channel_out_op[250],0.133,1.88,1.747
channel_out_op[57],0.133,1.88,1.747
channel_out_op[66],0.133,1.88,1.747
channel_out_op[95],0.133,1.88,1.747
channel_out_op[270],0.133,1.88,1.747
channel_out_op[4],0.133,1.88,1.747
channel_out_op[67],0.133,1.88,1.747
channel_out_op[58],0.133,1.88,1.747
channel_out_op[236],0.133,1.88,1.747
channel_out_op[294],0.133,1.88,1.747
channel_out_op[268],0.132,1.88,1.748
channel_out_op[53],0.132,1.88,1.748
channel_out_op[52],0.132,1.88,1.748
channel_out_op[237],0.132,1.88,1.748
channel_out_op[243],0.132,1.88,1.748
channel_out_op[269],0.132,1.88,1.748
channel_out_op[78],0.132,1.88,1.748
channel_out_op[80],0.132,1.88,1.748
channel_out_op[90],0.132,1.88,1.748
channel_out_op[89],0.132,1.88,1.748
channel_out_op[87],0.132,1.88,1.748
channel_out_op[65],0.132,1.88,1.748
channel_out_op[79],0.132,1.88,1.748
channel_out_op[272],0.132,1.88,1.748
channel_out_op[267],0.131,1.88,1.749
channel_out_op[2],0.131,1.88,1.749
channel_out_op[242],0.131,1.88,1.749
channel_out_op[5],0.131,1.88,1.749
channel_out_op[76],0.131,1.88,1.749
channel_out_op[77],0.131,1.88,1.749
channel_out_op[102],0.131,1.88,1.749
channel_out_op[97],0.13,1.88,1.75
channel_out_op[96],0.13,1.88,1.75
channel_out_op[286],0.13,1.88,1.75
flow_ctrl_out_ip[14],0.13,1.88,1.75
channel_out_op[261],0.13,1.88,1.75
channel_out_op[59],0.13,1.88,1.75
channel_out_op[247],0.129,1.88,1.751
channel_out_op[235],0.129,1.88,1.751
channel_out_op[61],0.129,1.88,1.751
channel_out_op[48],0.129,1.88,1.751
channel_out_op[287],0.128,1.88,1.752
channel_out_op[100],0.128,1.88,1.752
channel_out_op[263],0.128,1.88,1.752
channel_out_op[142],0.128,1.88,1.752
channel_out_op[85],0.128,1.88,1.752
channel_out_op[239],0.128,1.88,1.752
channel_out_op[56],0.128,1.88,1.752
channel_out_op[98],0.127,1.88,1.753
channel_out_op[281],0.127,1.88,1.753
channel_out_op[104],0.126,1.88,1.754
channel_out_op[3],0.126,1.88,1.754
channel_out_op[84],0.126,1.88,1.754
channel_out_op[88],0.126,1.88,1.754
channel_out_op[49],0.125,1.88,1.755
channel_out_op[116],0.125,1.88,1.755
channel_out_op[71],0.125,1.88,1.755
channel_out_op[227],0.125,1.88,1.755
channel_out_op[54],0.125,1.88,1.755
channel_out_op[262],0.125,1.88,1.755
channel_out_op[115],0.125,1.88,1.755
channel_out_op[112],0.125,1.88,1.755
channel_out_op[292],0.125,1.88,1.755
flow_ctrl_out_ip[13],0.124,1.88,1.756
channel_out_op[266],0.124,1.88,1.756
channel_out_op[264],0.124,1.88,1.756
channel_out_op[143],0.124,1.88,1.756
channel_out_op[117],0.124,1.88,1.756
channel_out_op[107],0.123,1.88,1.757
channel_out_op[279],0.123,1.88,1.757
channel_out_op[81],0.123,1.88,1.757
channel_out_op[101],0.123,1.88,1.757
channel_out_op[259],0.123,1.88,1.757
channel_out_op[91],0.123,1.88,1.757
channel_out_op[241],0.123,1.88,1.757
channel_out_op[109],0.123,1.88,1.757
channel_out_op[51],0.123,1.88,1.757
channel_out_op[144],0.122,1.88,1.758
channel_out_op[92],0.121,1.88,1.759
channel_out_op[94],0.121,1.88,1.759
channel_out_op[50],0.121,1.88,1.759
channel_out_op[105],0.121,1.88,1.759
channel_out_op[69],0.121,1.88,1.759
channel_out_op[99],0.121,1.88,1.759
channel_out_op[145],0.121,1.88,1.759
channel_out_op[141],0.12,1.88,1.76
channel_out_op[103],0.12,1.88,1.76
channel_out_op[211],0.12,1.88,1.76
channel_out_op[86],0.12,1.88,1.76
channel_out_op[230],0.119,1.88,1.761
channel_out_op[204],0.119,1.88,1.761
channel_out_op[82],0.119,1.88,1.761
channel_out_op[225],0.119,1.88,1.761
channel_out_op[206],0.118,1.88,1.762
channel_out_op[111],0.118,1.88,1.762
channel_out_op[174],0.118,1.88,1.762
channel_out_op[113],0.117,1.88,1.763
channel_out_op[83],0.117,1.88,1.763
channel_out_op[203],0.117,1.88,1.763
channel_out_op[136],0.117,1.88,1.763
channel_out_op[175],0.116,1.88,1.764
channel_out_op[172],0.116,1.88,1.764
channel_out_op[108],0.116,1.88,1.764
channel_out_op[226],0.116,1.88,1.764
channel_out_op[205],0.116,1.88,1.764
channel_out_op[159],0.116,1.88,1.764
channel_out_op[231],0.116,1.88,1.764
channel_out_op[186],0.116,1.88,1.764
channel_out_op[134],0.116,1.88,1.764
channel_out_op[260],0.116,1.88,1.764
channel_out_op[170],0.115,1.88,1.765
channel_out_op[218],0.115,1.88,1.765
channel_out_op[185],0.115,1.88,1.765
channel_out_op[182],0.115,1.88,1.765
channel_out_op[208],0.115,1.88,1.765
channel_out_op[114],0.115,1.88,1.765
channel_out_op[74],0.115,1.88,1.765
channel_out_op[106],0.115,1.88,1.765
channel_out_op[72],0.115,1.88,1.765
channel_out_op[168],0.115,1.88,1.765
channel_out_op[173],0.115,1.88,1.765
channel_out_op[163],0.114,1.88,1.766
channel_out_op[73],0.114,1.88,1.766
channel_out_op[219],0.114,1.88,1.766
channel_out_op[187],0.114,1.88,1.766
channel_out_op[132],0.114,1.88,1.766
channel_out_op[157],0.114,1.88,1.766
channel_out_op[228],0.114,1.88,1.766
channel_out_op[138],0.114,1.88,1.766
channel_out_op[135],0.113,1.88,1.767
channel_out_op[133],0.113,1.88,1.767
channel_out_op[166],0.113,1.88,1.767
channel_out_op[75],0.113,1.88,1.767
channel_out_op[199],0.113,1.88,1.767
channel_out_op[167],0.113,1.88,1.767
channel_out_op[177],0.113,1.88,1.767
channel_out_op[232],0.113,1.88,1.767
channel_out_op[234],0.113,1.88,1.767
channel_out_op[183],0.113,1.88,1.767
channel_out_op[179],0.113,1.88,1.767
channel_out_op[110],0.113,1.88,1.767
channel_out_op[202],0.112,1.88,1.768
channel_out_op[221],0.112,1.88,1.768
channel_out_op[149],0.112,1.88,1.768
channel_out_op[220],0.112,1.88,1.768
channel_out_op[207],0.112,1.88,1.768
channel_out_op[176],0.112,1.88,1.768
channel_out_op[181],0.112,1.88,1.768
channel_out_op[184],0.112,1.88,1.768
channel_out_op[165],0.112,1.88,1.768
channel_out_op[171],0.111,1.88,1.769
channel_out_op[201],0.111,1.88,1.769
channel_out_op[160],0.111,1.88,1.769
channel_out_op[150],0.111,1.88,1.769
channel_out_op[198],0.111,1.88,1.769
channel_out_op[178],0.11,1.88,1.77
channel_out_op[151],0.109,1.88,1.771
channel_out_op[200],0.109,1.88,1.771
channel_out_op[195],0.109,1.88,1.771
channel_out_op[224],0.109,1.88,1.771
channel_out_op[128],0.109,1.88,1.771
channel_out_op[193],0.109,1.88,1.771
channel_out_op[137],0.109,1.88,1.771
channel_out_op[123],0.109,1.88,1.771
channel_out_op[192],0.108,1.88,1.772
channel_out_op[197],0.108,1.88,1.772
channel_out_op[127],0.108,1.88,1.772
channel_out_op[118],0.107,1.88,1.773
channel_out_op[129],0.107,1.88,1.773
channel_out_op[223],0.107,1.88,1.773
channel_out_op[188],0.107,1.88,1.773
channel_out_op[180],0.107,1.88,1.773
channel_out_op[155],0.107,1.88,1.773
channel_out_op[125],0.107,1.88,1.773
channel_out_op[148],0.107,1.88,1.773
channel_out_op[122],0.107,1.88,1.773
channel_out_op[131],0.107,1.88,1.773
channel_out_op[130],0.107,1.88,1.773
channel_out_op[158],0.106,1.88,1.774
channel_out_op[119],0.106,1.88,1.774
channel_out_op[217],0.106,1.88,1.774
channel_out_op[191],0.106,1.88,1.774
channel_out_op[169],0.105,1.88,1.775
channel_out_op[126],0.105,1.88,1.775
channel_out_op[147],0.105,1.88,1.775
channel_out_op[222],0.105,1.88,1.775
channel_out_op[209],0.104,1.88,1.776
channel_out_op[124],0.104,1.88,1.776
channel_out_op[153],0.104,1.88,1.776
channel_out_op[196],0.104,1.88,1.776
channel_out_op[154],0.104,1.88,1.776
channel_out_op[216],0.104,1.88,1.776
channel_out_op[152],0.103,1.88,1.777
channel_out_op[139],0.103,1.88,1.777
channel_out_op[146],0.103,1.88,1.777
channel_out_op[121],0.103,1.88,1.777
channel_out_op[162],0.103,1.88,1.777
channel_out_op[120],0.102,1.88,1.778
channel_out_op[194],0.101,1.88,1.779
channel_out_op[284],0.101,1.88,1.779
channel_out_op[164],0.101,1.88,1.779
channel_out_op[156],0.1,1.88,1.78
channel_out_op[212],0.1,1.88,1.78
channel_out_op[189],0.1,1.88,1.78
channel_out_op[282],0.1,1.88,1.78
channel_out_op[215],0.1,1.88,1.78
channel_out_op[214],0.1,1.88,1.78
channel_out_op[190],0.099,1.88,1.781
channel_out_op[213],0.099,1.88,1.781
channel_out_op[285],0.099,1.88,1.781
channel_out_op[161],0.099,1.88,1.781
channel_out_op[283],0.099,1.88,1.781
